pair_id,model_name,model_type,analogy_top1_accuracy,analogy_top5_accuracy,analogy_top10_accuracy,word_similarity_pearson,word_similarity_spearman,word_similarity_oov_ratio
1-2,group0.vec,original,0.2824,0.509,0.6155,0.4647,0.4636,17.5637
4-3-4,group1.vec,original,0.0392,0.1102,0.1425,0.0947,0.0615,73.9377
4-3-4,group0.vec,original,0.0509,0.175,0.2252,0.3077,0.3166,40.7932
4-1-2,group1.vec,original,0.0304,0.0938,0.1296,-0.0065,0.0062,78.187
4-1-2,group0.vec,original,0.0486,0.1291,0.1573,0.3013,0.3168,37.9603
4-2-2,group1.vec,original,0.0354,0.0892,0.1194,-0.054,-0.0055,83.2861
4-2-2,group0.vec,original,0.0541,0.1521,0.1941,0.3215,0.3392,38.8102
1-1,group1.vec,original,0.1251,0.3265,0.4353,0.3586,0.3466,24.0793
1-1,group0.vec,original,0.2824,0.509,0.6155,0.4647,0.4636,17.5637
4-3-5,group1.vec,original,0.019,0.0588,0.0987,0.2591,0.1949,87.8187
4-3-5,group0.vec,original,0.0509,0.175,0.2252,0.3077,0.3166,40.7932
1-6,group0_mapped.vec,aligned,0.259,0.4791,0.5755,0.4378,0.4247,17.5637
1-6,group1_mapped.vec,aligned,0.0575,0.1439,0.177,0.3609,0.3344,38.5269
4-3-3,group0_mapped.vec,aligned,0.0613,0.1876,0.2407,0.3073,0.3014,40.7932
4-3-3,group1_mapped.vec,aligned,0.0313,0.075,0.1019,0.1414,0.1196,76.7705
3-1,group0_mapped.vec,aligned,0.1398,0.3398,0.432,0.3858,0.3804,20.3966
3-1,group1_mapped.vec,aligned,0.0806,0.2084,0.2624,0.3296,0.3189,30.8782
2-1,group0_mapped.vec,aligned,0.2679,0.4894,0.5902,0.4137,0.4084,17.5637
2-1,group1_mapped.vec,aligned,0.2087,0.4447,0.5455,0.424,0.4269,18.1303
3-2,group0_mapped.vec,aligned,0.0969,0.2612,0.329,0.4066,0.4099,33.1445
3-2,group1_mapped.vec,aligned,0.0823,0.2106,0.2597,0.3533,0.3556,30.8782
4-4-4,group0_mapped.vec,aligned,0.1005,0.2464,0.3197,0.3482,0.3561,27.4788
4-4-4,group1_mapped.vec,aligned,0.0413,0.0936,0.1297,0.1084,0.1785,73.6544
4-3-2,group0_mapped.vec,aligned,0.0526,0.1792,0.2276,0.2967,0.2691,40.7932
4-3-2,group1_mapped.vec,aligned,0.042,0.1203,0.1529,0.1586,0.1504,71.1048
4-1-1,group0_mapped.vec,aligned,0.0548,0.129,0.1588,0.2855,0.2826,37.9603
4-1-1,group1_mapped.vec,aligned,0.0278,0.0789,0.1188,-0.0178,-0.0291,82.153
4-4-3,group0_mapped.vec,aligned,0.0971,0.251,0.32,0.342,0.3301,27.4788
4-4-3,group1_mapped.vec,aligned,0.0253,0.0791,0.1049,-0.0921,-0.066,75.6374
4-1-5,group0_mapped.vec,aligned,0.0533,0.1382,0.1639,0.2804,0.281,37.9603
4-1-5,group1_mapped.vec,aligned,0.0158,0.0462,0.0712,0.0926,-0.0132,90.085
2-4,group0_mapped.vec,aligned,0.2112,0.4496,0.5494,0.4212,0.4264,18.1303
2-4,group1_mapped.vec,aligned,0.1741,0.4003,0.5,0.4223,0.4358,21.2465
1-5,group0_mapped.vec,aligned,0.2857,0.4996,0.594,0.4472,0.4379,17.5637
1-5,group1_mapped.vec,aligned,0.1973,0.453,0.555,0.4051,0.4002,19.5467
0-3,group0_mapped.vec,aligned,0.2473,0.4717,0.5773,0.4133,0.407,17.5637
0-3,group1_mapped.vec,aligned,0.1555,0.3799,0.4817,0.4049,0.3917,22.0963
0-1,group0_mapped.vec,aligned,0.0687,0.1807,0.2248,0.417,0.4069,36.8272
0-1,group1_mapped.vec,aligned,0.1449,0.3709,0.4637,0.4025,0.3916,22.0963
4-4-2,group0_mapped.vec,aligned,0.1014,0.2522,0.3244,0.368,0.3616,27.4788
4-4-2,group1_mapped.vec,aligned,0.052,0.1286,0.1663,0.2531,0.2354,76.4873
1-4,group0_mapped.vec,aligned,0.2799,0.4935,0.5858,0.4579,0.4528,17.5637
1-4,group1_mapped.vec,aligned,0.1654,0.3872,0.501,0.4382,0.432,19.83
1-3,group0_mapped.vec,aligned,0.2678,0.5079,0.6013,0.4254,0.4169,17.5637
1-3,group1_mapped.vec,aligned,0.0258,0.068,0.0981,0.2058,0.191,68.272
0-4,group0_mapped.vec,aligned,0.2616,0.5029,0.6013,0.4125,0.4038,17.847
0-4,group1_mapped.vec,aligned,0.1573,0.3837,0.487,0.4101,0.4025,22.0963
4-4-5,group0_mapped.vec,aligned,0.0965,0.2449,0.3226,0.3406,0.3403,27.4788
4-4-5,group1_mapped.vec,aligned,0.0346,0.0821,0.1138,0.0279,0.0485,81.3031
3-3,group0_mapped.vec,aligned,0.1258,0.329,0.4172,0.3721,0.3741,26.0623
3-3,group1_mapped.vec,aligned,0.0788,0.2081,0.2608,0.3465,0.3362,30.8782
4-1-4,group0_mapped.vec,aligned,0.0528,0.1282,0.1565,0.3308,0.3425,37.9603
4-1-4,group1_mapped.vec,aligned,0.0127,0.0472,0.0853,-0.1102,-0.0668,90.085
4-2-3,group0_mapped.vec,aligned,0.0561,0.1541,0.1926,0.2895,0.2966,38.8102
4-2-3,group1_mapped.vec,aligned,0.0538,0.1264,0.1632,0.1702,0.0785,79.6034
4-2-4,group0_mapped.vec,aligned,0.0531,0.1518,0.1935,0.2992,0.3111,38.8102
4-2-4,group1_mapped.vec,aligned,0.0464,0.1016,0.1372,0.2374,0.1805,77.6204
4-2-1,group0_mapped.vec,aligned,0.0559,0.1475,0.1926,0.3151,0.3202,38.8102
4-2-1,group1_mapped.vec,aligned,0.0376,0.0933,0.1341,0.0868,0.0931,83.2861
4-1-3,group0_mapped.vec,aligned,0.0522,0.1273,0.1562,0.3063,0.3224,37.9603
4-1-3,group1_mapped.vec,aligned,0.0121,0.0382,0.0614,-0.1152,-0.0996,84.4193
4-3-1,group0_mapped.vec,aligned,0.0549,0.1851,0.2346,0.3156,0.285,40.7932
4-3-1,group1_mapped.vec,aligned,0.0265,0.0688,0.0987,0.1764,0.1357,68.272
2-3,group0_mapped.vec,aligned,0.2575,0.4846,0.5803,0.41,0.3909,17.5637
2-3,group1_mapped.vec,aligned,0.0865,0.2405,0.2969,0.3517,0.3343,33.711
4-4-1,group0_mapped.vec,aligned,0.1012,0.2546,0.3244,0.35,0.3459,27.4788
4-4-1,group1_mapped.vec,aligned,0.0405,0.099,0.1242,0.1834,0.1735,48.7252
0-2,group0_mapped.vec,aligned,0.2569,0.4855,0.595,0.4271,0.4047,18.1303
0-2,group1_mapped.vec,aligned,0.1587,0.388,0.4862,0.4067,0.3934,22.0963
2-2,group0_mapped.vec,aligned,0.0883,0.236,0.2968,0.3452,0.3262,33.711
2-2,group1_mapped.vec,aligned,0.1685,0.393,0.4966,0.4281,0.4404,21.2465
4-2-5,group0_mapped.vec,aligned,0.0513,0.1495,0.1929,0.2698,0.2721,38.8102
4-2-5,group1_mapped.vec,aligned,0.0169,0.0778,0.1102,0.1734,0.0453,77.9037
1-2,group0_mapped.vec,aligned,0.3082,0.5338,0.628,0.4706,0.4638,17.5637
1-2,group1_mapped.vec,aligned,0.1193,0.3317,0.4244,0.4005,0.3979,28.6119
4-3-4,group0_mapped.vec,aligned,0.0583,0.1747,0.2272,0.2427,0.1993,40.7932
4-3-4,group1_mapped.vec,aligned,0.0426,0.1107,0.1352,0.1212,0.1236,73.9377
4-1-2,group0_mapped.vec,aligned,0.0493,0.1332,0.1652,0.2682,0.272,37.9603
4-1-2,group1_mapped.vec,aligned,0.0263,0.0783,0.1215,0.1172,0.094,78.187
4-2-2,group0_mapped.vec,aligned,0.0533,0.1432,0.1827,0.3061,0.3164,38.8102
4-2-2,group1_mapped.vec,aligned,0.0276,0.0866,0.122,-0.1063,-0.0667,83.2861
1-1,group0_mapped.vec,aligned,0.3106,0.5328,0.6293,0.4827,0.4798,17.5637
1-1,group1_mapped.vec,aligned,0.156,0.3679,0.4658,0.3824,0.3741,24.0793
4-3-5,group0_mapped.vec,aligned,0.051,0.1753,0.2242,0.2511,0.2068,40.7932
4-3-5,group1_mapped.vec,aligned,0.0266,0.074,0.093,0.2431,0.2121,87.8187
