model,wordsim353_coverage,wordsim353_pearson,wordsim353_spearman,analogy_top1,analogy_top5,analogy_top10
China_vecmap_supervised1000_aligned.vec,0.8016997167138811,0.3908637831161874,0.37353000982303225,0.3006060606060606,0.5198484848484849,0.5904545454545455
USA_vecmap_semi_supervised_aligned.vec,0.7507082152974505,0.35990020415289103,0.37075857642956006,0.25843694493783304,0.47744227353463586,0.5511545293072824
USA_vecmap_unsupervised_aligned.vec,0.7507082152974505,0.3584125235528518,0.36948402938841096,0.25914742451154527,0.4769094138543517,0.5479573712255773
China_vecmap_semi_supervised_aligned.vec,0.8016997167138811,0.3842545368297645,0.36126974444266974,0.30666666666666664,0.5271212121212121,0.598030303030303
China_vecmap_unsupervised_aligned.vec,0.8016997167138811,0.3852356130904335,0.3624128569386191,0.3106060606060606,0.5293939393939394,0.5969696969696969
USA_filtered_100000_skipgram_dim100_ep20_lr0.05_min1_neg10_20250904_151608.vec,0.8016997167138811,0.4214790465880786,0.400940619119718,0.31075757575757573,0.5421212121212121,0.615
USA_vecmap_supervised1000_aligned.vec,0.7507082152974505,0.3688168419000263,0.38169072719535835,0.25435168738898756,0.4714031971580817,0.544404973357016
China_filtered_100000_skipgram_dim100_ep20_lr0.05_min1_neg10_20250904_151540.vec,0.7507082152974505,0.3692503482838804,0.3865122744893991,0.26039076376554177,0.4822380106571936,0.5648312611012434
